bag,site,induced,wall,t,dt,dpsi_deg,dp_pub,dp_ant,pred_jump,resid,across_pre,across,along_pre,quality,sats,age_s,cov35,dpsi_imu_deg,imu_turn_2s,stale_candidate,gz_max,cls_imu
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:42:43.103,1787906563.1030,0.2000,12.5652,0.0819,0.0019,0.0800,0.0019,0.0452,0.0591,0.0683,4,25,1.0000,0.0001,,0.0000,False,,straight
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:53:19.509,1787907199.5090,0.2010,21.6830,0.1542,0.0186,0.1375,0.0167,0.0677,0.1139,0.1384,4,28,0.0000,0.0001,0.3680,7.5290,False,0.0770,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:56:40.469,1787907400.4690,0.2000,-10.2965,0.0504,0.0153,0.0656,-0.0152,-0.0369,-0.0302,-0.0337,4,24,0.0000,0.0001,-5.4690,-38.9850,False,0.5143,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:59:36.137,1787907576.1370,0.2010,8.8374,0.0692,0.0146,0.0563,0.0128,0.0334,0.0426,0.0604,4,24,0.0000,0.0001,-0.2750,-1.7730,False,0.0375,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:59:36.538,1787907576.5380,0.2010,-13.7939,0.0739,0.0162,0.0878,-0.0139,-0.0598,-0.0466,-0.0445,4,25,0.0000,0.0001,-0.1610,-1.8650,False,0.0420,straight
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:59:37.543,1787907577.5430,0.2010,13.4711,0.0910,0.0114,0.0857,0.0053,0.0413,0.0587,0.0811,4,24,0.0000,0.0001,0.1480,0.8210,False,0.0651,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 17:02:44.664,1787907764.6640,0.2010,-9.2067,0.0648,0.0094,0.0587,0.0061,-0.0398,-0.0312,-0.0516,4,27,0.0000,0.0001,-2.4980,-14.1550,True,0.2617,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 17:09:37.810,1787908177.8100,0.4010,6.1935,0.0543,0.0190,0.0395,0.0148,0.0197,0.0257,0.0499,4,24,0.0000,0.0001,-1.8060,-6.8620,False,0.1533,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 17:12:24.231,1787908344.2310,0.2000,-6.8086,0.0528,0.0099,0.0434,0.0094,-0.0387,-0.0342,-0.0363,4,26,1.0000,0.0001,0.7450,18.3150,False,0.0744,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 17:13:52.960,1787908432.9600,0.2010,8.0848,0.0616,0.0145,0.0515,0.0101,0.0265,0.0340,0.0553,4,23,1.0000,0.0001,0.5280,3.2320,True,0.0665,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 17:13:58.582,1787908438.5820,0.2010,11.4540,0.0637,0.0098,0.0730,-0.0093,0.0377,0.0476,0.0513,4,24,1.0000,0.0001,-0.0090,-4.8810,False,0.0051,turn
run_20260829_2026-08-29-09-12-05,greenhouse,0,2026-08-29 09:27:40.757,1787966860.7570,0.2000,-36.7372,0.2289,0.0028,0.2304,-0.0015,-0.1930,-0.0822,-0.1222,4,31,0.0000,0.0001,0.0030,0.0620,False,0.0016,slow
run_20260829_2026-08-29-09-12-05,greenhouse,0,2026-08-29 09:33:06.538,1787967186.5380,0.2000,6.8458,0.0518,0.0096,0.0437,0.0081,0.0263,0.0313,0.0447,4,26,1.0000,0.0001,-0.0250,-1.2510,False,0.0099,straight
run_20260829_2026-08-29-09-12-05,greenhouse,0,2026-08-29 09:41:11.622,1787967671.6220,0.2000,14.4225,0.0888,0.0034,0.0918,-0.0030,0.0496,0.0662,0.0734,4,29,0.0000,0.0001,-0.0060,29.7970,False,0.0068,slow
