rule,bag,wall,frames,size_m,dpsi_vs_last_published,d_ant_m,gap_s,reanchor
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:03:16.568,1,0.0693,-9.63,0.0081,0.2,0
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:05:55.675,1,0.0818,-9.79,0.02,0.2,0
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:11:52.518,1,0.0516,5.43,0.0197,0.2,0
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:18:20.892,1,0.1095,-17.32,0.001,0.2,1
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:22:45.468,7,0.1394,20.63,0.015,0.2,1
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:05.557,3,0.0597,9.38,0.0041,0.2,0
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:15.602,2,0.0712,9.25,0.015,0.2,0
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:24:27.521,1,0.0533,9.05,0.0045,0.2,0
v1 g=10,run_20260906_2026-09-06-16-32-55,2026-09-06 16:56:03.259,1,0.0601,-12.48,0.0194,0.4,1
v1 g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:53:02.216,1,0.2383,-38.25,0.002,0.2,1
v1 g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:42.871,4,0.1373,-22.01,0.0022,0.2,1
v1 g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:59:23.048,1,0.0979,-17.95,0.0166,0.4,1
v1 g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:59:29.069,1,0.1603,24.41,0.0078,0.2,1
v1 g=10,run_20260907_2026-09-07-14-19-47,2026-09-07 14:25:44.840,1,0.3281,-52.71,0.0036,0.4,1
v1 g=10,run_20260907_2026-09-07-14-19-47,2026-09-07 14:29:05.422,1,0.599,110.19,0.0028,2.01,1
v1 g=10,run_20260909_2026-09-09-07-19-13,2026-09-09 07:26:14.672,1,0.2568,40.72,0.0188,0.4,1
v1 g=10,run_20260909_2026-09-09-07-19-13,2026-09-09 07:45:36.256,1,0.0943,16.94,0.0133,0.4,1
v1 g=10,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:07.909,2,0.0832,-13.37,0.002,0.2,1
v1 g=10,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:16.944,2,0.1159,18.08,0.0014,0.2,1
v1 g=10,run_20260910_2026-09-10-16-42-10,2026-09-10 17:02:23.756,1,0.0697,-11.37,0.003,0.2,1
v1 g=10,run_20260912_2026-09-12-07-46-55,2026-09-12 08:04:12.285,1,0.1306,22.57,0.013,0.4,1
v1 g=10,run_20260912_2026-09-12-07-46-55,2026-09-12 08:26:49.933,1,0.084,-15.11,0.0173,0.2,1
v1 g=10,run_20260912_2026-09-12-13-52-20,2026-09-12 13:55:58.751,1,0.1796,-29.59,0.0071,0.2,1
v1 g=10,run_20260912_2026-09-12-13-58-05,2026-09-12 15:31:31.639,1,0.1717,26.37,0.0051,0.2,1
v1 g=10,run_20260912_2026-09-12-13-58-05,2026-09-12 15:41:49.361,1,0.0597,7.67,0.012,0.2,0
v1 g=10,tight08_0824_2026-08-24-18-56-08,2026-08-24 18:56:14.123,1,0.1336,20.56,0.0042,0.2,1
v1 g=10,tight08_0824_2026-08-24-18-56-08,2026-08-24 19:02:09.286,1,0.0623,-11.65,0.012,0.2,1
v2 g=10,fixed_0824_2026-08-24-17-36-06,2026-08-24 17:48:11.694,1,0.1259,18.59,0.008,0.2,1
v2 g=10,fixed_0824_2026-08-24-17-36-06,2026-08-24 17:50:35.099,1,0.1242,-18.94,0.0076,0.2,1
v2 g=10,fixed_0824_2026-08-24-17-36-06,2026-08-24 17:59:33.906,1,0.1106,-17.84,0.0028,0.2,1
v2 g=10,fixed_0824_2026-08-24-17-36-06,2026-08-24 18:04:07.259,1,0.0711,-13.77,0.0194,0.2,1
v2 g=10,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:40:44.376,1,0.0631,9.4,0.0073,0.2,0
v2 g=10,repeat5_0819_2026-08-19-17-48-18,2026-08-19 17:52:08.276,1,0.1254,19.1,0.0041,0.2,1
v2 g=10,run_20260827_2026-08-27-18-54-23,2026-08-27 18:57:35.721,1,0.0625,9.05,0.0058,0.2,0
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:27:41.849,1,0.0622,10.17,0.0032,0.2,1
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:40:48.073,1,0.1975,30.32,0.0081,0.2,1
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:31.428,2,0.0815,12.6,0.012,0.2,1
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:42.877,1,0.0708,10.55,0.0041,0.2,1
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:43:41.694,1,0.1227,18.96,0.0151,0.2,1
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:48:09.104,2,0.1209,-19.94,0.0122,0.2,1
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:50:06.719,1,0.0742,12.14,0.0032,0.2,1
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:53:15.447,1,0.0537,8.5,0.0051,0.2,0
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:56:08.862,1,0.0688,10.76,0.0022,0.2,1
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 11:01:09.142,1,0.154,-24.9,0.0051,0.2,1
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:04.565,2,0.1326,-20.53,0.0032,0.2,1
v2 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:14.000,3,0.1315,-18.62,0.0141,0.2,1
v2 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 16:42:38.687,1,0.0679,11.89,0.0158,0.2,1
v2 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 16:42:43.705,1,0.3984,-65.52,0.0032,0.6,1
v2 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 16:59:36.939,3,0.1124,-19.62,0.0198,0.2,1
v2 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:00:56.048,3,0.1623,24.01,0.0142,0.2,1
v2 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:02:44.664,1,0.0658,-9.21,0.01,0.2,0
v2 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:09:26.364,1,0.2194,36.42,0.0092,0.2,1
v2 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:09:37.810,1,0.0542,6.19,0.0189,0.4,0
v2 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:12:24.231,1,0.0527,-6.81,0.0098,0.2,0
v2 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:52.960,1,0.061,8.08,0.0143,0.2,0
v2 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:14:55.192,1,0.0967,14.06,0.0073,0.2,1
v2 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:27:41.559,1,0.2301,-35.81,0.0064,0.2,1
v2 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:33:06.538,1,0.0523,6.85,0.0099,0.2,0
v2 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:36:24.136,1,0.1829,26.32,0.0175,0.2,1
v2 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:11.822,1,0.0903,14.23,0.0022,0.2,1
v2 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:45.524,1,0.0513,-8.36,0.002,0.2,0
v2 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:49:02.853,1,0.3686,61.12,0.0064,0.6,1
