bag,site,induced,t,dt,dpsi_deg,dpsi_imu_deg,cls_imu,has_lidar,n_lidar_win,dpsi_lidar_deg,n_lidar_2s,dpsi_lidar_2s,dpsi_gyro_win_deg,dpsi_gyro_2s_deg,min_fitness_win,min_fitness_2s
run_20260829_2026-08-29-09-12-05,greenhouse,0,1787967671.6220,0.2000,14.4225,-0.0060,slow,1,5,-0.0422,20,-14.9181,0.4141,-14.6076,0.880,0.856
run_20260829_2026-08-29-09-12-05,greenhouse,0,1787967705.5240,0.2010,-8.3640,0.0050,slow,1,5,-0.2167,20,0.0408,0.3830,1.5196,0.876,0.855
run_20260829_2026-08-29-09-12-05,greenhouse,0,1787968141.6500,0.2000,58.4448,0.8650,slow,1,5,-2.2278,20,-10.0237,-1.7863,-7.5300,0.836,0.830
run_20260829_2026-08-29-09-12-05,greenhouse,0,1787968226.3030,0.2000,-9.0586,0.1790,slow,1,5,-0.3692,20,-0.9896,0.0367,0.6383,0.934,0.934
run_20260829_2026-08-29-09-12-05,greenhouse,0,1787968294.5240,0.2000,-64.9576,0.0040,slow,1,5,0.0629,20,0.1447,0.3670,1.3978,0.896,0.895
run_20260829_2026-08-29-09-12-05,greenhouse,0,1787968364.5310,0.2000,21.4107,0.0220,slow,1,5,-0.2883,20,-20.2257,0.1707,-19.0640,0.878,0.878
run_20260829_2026-08-29-09-12-05,greenhouse,0,1787968365.5330,0.2000,17.4159,0.1740,slow,1,5,-1.9324,20,-10.6841,-2.5616,-9.2840,0.878,0.874
run_20260829_2026-08-29-09-12-05,greenhouse,0,1787968366.5360,0.2000,14.2915,-0.0060,slow,1,5,0.0459,20,-3.1023,0.3411,-1.5241,0.883,0.868
run_20260830_2026-08-30-17-20-39,concrete yard,0,1788082376.2550,0.2000,16.2648,0.0080,turn,1,5,-0.0171,20,-15.3872,0.0981,-16.2377,0.880,0.860
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680031.4950,0.2010,8.1978,-0.0070,slow,1,5,-0.0588,20,-0.0330,0.0815,0.3551,0.906,0.899
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680079.7110,0.2010,-8.9176,0.0010,slow,1,5,0.0107,20,-0.0490,0.0954,0.3562,0.918,0.902
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680083.5270,0.2010,-19.1381,-0.0050,slow,1,5,-0.0122,20,0.0248,0.0828,0.3428,0.908,0.908
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680084.3300,0.2010,25.6934,0.0020,slow,1,5,-0.0161,20,-0.0611,0.0943,0.3617,0.918,0.908
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680084.7320,0.2010,10.0255,-0.0090,slow,1,5,0.0061,20,0.0176,0.1017,0.3570,0.912,0.912
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680084.9330,0.2010,-10.3844,-0.0040,slow,1,5,0.0144,20,-0.0095,0.0903,0.3449,0.912,0.912
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680085.5360,0.2010,-167.5083,-0.0050,slow,1,5,0.0079,20,0.0494,0.0782,0.3269,0.921,0.912
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680085.7360,0.2010,-10.6541,0.0060,slow,1,5,-0.0106,20,0.1079,0.0779,0.3306,0.921,0.909
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680086.7400,0.2000,69.1643,-0.0010,slow,1,5,0.1078,20,0.1914,0.0852,0.3143,0.900,0.897
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680086.9410,0.2010,-79.9019,0.0010,slow,1,5,0.0905,20,0.2270,0.0953,0.3220,0.900,0.897
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680087.1410,0.2000,50.4774,-0.0090,slow,1,5,0.0612,20,0.2494,0.0845,0.3265,0.900,0.897
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680087.5440,0.2030,59.1505,0.0020,slow,1,5,0.0861,20,0.1390,0.0659,0.3274,0.897,0.897
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680087.7450,0.2010,-7.4851,0.0060,slow,1,5,0.0421,20,0.1029,0.0816,0.3324,0.897,0.897
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680088.1470,0.2010,13.0907,-0.0010,slow,1,5,0.0025,20,0.0185,0.0826,0.3433,0.914,0.897
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680088.5490,0.2020,-27.4275,-0.0050,slow,1,5,-0.0594,20,-0.0284,0.0852,0.3402,0.908,0.895
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680088.7490,0.2010,12.1121,-0.0000,slow,1,5,-0.0150,20,-0.0030,0.1023,0.3459,0.908,0.895
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680088.9500,0.2010,-14.3487,0.0030,slow,1,5,-0.0103,20,0.0183,0.1083,0.3416,0.908,0.895
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680089.5530,0.2010,-13.6713,0.0030,slow,1,5,0.0471,20,0.1044,0.0674,0.3525,0.895,0.895
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788680100.6010,0.2020,12.3581,-0.0060,slow,1,5,-0.0371,20,-0.0645,0.0782,0.3433,0.904,0.904
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788681101.6530,0.2010,44.4823,-0.0070,slow,1,5,-0.0549,20,-0.2621,0.1252,0.4660,0.886,0.886
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788681422.4910,0.2010,11.9451,-0.0010,slow,1,5,-0.0994,20,-0.3668,0.0961,0.5028,0.907,0.890
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788681423.0940,0.2010,-67.5415,0.0000,slow,1,5,0.0273,20,-0.2308,0.1353,0.4880,0.893,0.887
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788681451.4210,0.2000,29.6552,0.0090,slow,1,5,0.0659,20,-0.1324,0.1256,0.4908,0.886,0.864
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788681452.6250,0.2010,9.7388,-0.0070,slow,1,5,0.0119,20,0.0243,0.1242,0.5103,0.889,0.864
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788681796.5680,0.2010,-9.6275,0.0060,slow,1,5,0.0479,20,0.0451,0.1065,0.4629,0.889,0.889
